sno,假日0400初始車輛數
500106098,10
500106099,4
500106100,4
500106101,10
500106102,3
500106103,3
500106104,3
500106105,3
500106106,7
500106107,5
500106108,7
500106109,4
500106110,4
500106111,2
500106112,8
500106113,10
500106114,12
500106115,11
500106116,13
500106117,23
500106118,5
500106119,15
500106120,20
500106121,18
500106122,9
500106123,11
500106124,10
500106125,7
500106126,6
500106127,6
500106128,21
500106129,17
500106130,10
500106131,5
500106132,8
500106133,6
500106134,13
500106135,2
500106136,7
500106137,4
500106138,7
500106142,2
500106143,12
500106144,2
500106145,7
500106146,5
500106147,6
500106149,10
500106150,16
500107001,17
500107002,3
500107003,6
500107004,9
500107005,8
500107006,9
500107007,16
500107008,8
500107009,14
500107010,28
500107011,8
500107012,9
500107013,14
500107014,7
500107015,29
500107016,36
500107017,13
500107018,5
500107019,6
500107020,16
500107021,22
500107022,11
500107023,50
500107024,6
500107025,12
500107026,5
500107027,8
500107028,43
500107029,20
500107030,14
500107031,16
500107032,15
500107033,9
500107034,11
500107035,10
500107036,26
500107037,11
500107038,2
500107039,4
500107040,19
500107041,12
500107042,2
500107043,0
500107044,10
500107045,4
500107046,11
500107047,8
500107048,29
500107049,24
500107050,35
500107051,9
500107052,12
500107053,10
500107054,12
500107055,6
500107056,10
500107058,13
500107059,2
500107060,4
500107061,13
500107062,17
500107063,3
500107064,22
500107065,1
500107066,9
500107067,4
500107068,7
500107069,4
500107070,2
500107071,11
500107072,15
500107075,8
500107076,17
500107078,7
500107079,12
500107080,8
500107081,7
500107082,10
500107083,24
500107084,8
500107085,6
500107086,3
500107087,16
500107088,4
500107089,4
500107090,11
500107091,10
500107092,10
500107093,13
500107095,12
500107096,7
500107097,3
500107098,3
500107099,7
500107100,5
500107101,5
500107102,4
500107103,5
500107104,6
500107105,0
500107106,10
500107107,10
500107108,7
500107109,10
500107110,8
500107111,21
500107112,14
500107113,4
500107114,16
500107115,3
500107116,22
500107117,10
500107118,8
500107119,10
500107120,4
500107121,8
500107122,4
500107123,9
500107124,6
500107125,11
500107126,4
500107127,8
500107128,9
500107129,4
500107130,14
500107131,5
500107132,6
500107133,6
500107134,10
500107135,3
500107136,14
500107137,2
500107138,10
500107139,39
500107140,1
500107141,10
500107142,7
500107143,2
500107144,12
500107145,13
500107146,18
500107147,7
500107149,8
500107150,4
500107151,10
500107152,12
500107153,7
500107154,8
500107155,6
500107156,8
500107157,8
500107158,13
500107159,7
500107160,13
500107161,8
500107162,12
500107163,3
500107164,4
500107165,7
500107166,17
500107167,8
500107168,7
500107169,13
500107170,20
500107171,9
500107172,21
500107173,10
500107174,4
500107175,6
500107176,7
500107177,10
500107178,14
500107179,12
500107180,7
500107181,10
500107182,17
500107183,4
500107184,11
500107185,11
500107186,2
500107187,8
500107188,17
500107189,5
500107190,6
500107191,12
500107192,14
500107193,12
500107194,12
500107195,8
500107196,11
500107197,6
500107198,16
500107199,8
500107200,5
500107201,11
500107202,8
500107203,9
500107204,9
500107205,3
500107206,7
500108001,20
500108002,7
500108003,8
500108004,7
500108005,24
500108006,14
500108007,16
500108008,28
500108009,11
500108010,11
500108011,25
500108012,8
500108013,11
500108014,4
500108015,6
500108016,8
500108018,8
500108019,10
500108020,5
500108021,8
500108022,9
500108023,8
500108024,14
500108025,4
500108026,23
500108027,30
500108028,11
500108029,12
500108030,8
500108031,8
500108032,6
500108033,31
500108035,13
500108036,9
500108037,6
500108038,16
500108039,8
500108040,10
500108041,4
500108043,13
500108044,13
500108045,19
500108046,22
500108047,12
500108048,13
500108049,41
500108050,3
500108051,22
500108052,11
500108054,16
500108055,14
500108056,13
500108057,6
500108058,12
500108059,14
500108060,5
500108061,8
500108062,8
500108063,5
500108064,4
500108065,9
500108066,9
500108067,8
500108068,24
500108069,7
500108070,21
500108071,18
500108072,11
500108073,4
500108074,9
500108075,5
500108076,8
500108077,12
500108078,15
500108079,9
500108081,10
500108082,4
500108083,7
500108084,4
500108085,8
500108086,13
500108087,10
500108088,18
500108089,9
500108090,6
500108091,10
500108092,4
500108093,5
500108094,4
500108095,15
500108096,8
500108097,11
500108098,4
500108099,16
500108100,6
500108102,6
500108103,3
500108104,8
500108105,12
500108106,11
500108107,11
500108108,8
500108109,5
500108110,8
500108111,8
500108112,8
500108115,10
500108116,5
500108117,3
500108118,10
500108119,5
500108120,6
500108121,15
500108122,4
500108123,7
500108124,12
500108125,11
500108126,7
500108127,14
500108128,6
500108129,12
500108131,5
500108132,8
500108133,14
500108134,6
500108135,9
500108136,4
500108137,14
500108138,9
500108139,8
500108140,6
500108141,10
500108142,11
500108143,4
500108144,5
500108145,4
500108146,9
500108147,8
500108148,5
500108150,4
500108151,4
500108152,4
500108153,4
500108154,7
500108156,12
500108157,4
500108158,8
500108159,4
500108160,6
500108161,9
500108162,7
500108164,4
500108165,19
500108166,3
500108167,8
500108168,4
500108169,9
500108170,8
500108171,4
500108172,7
500108173,8
500108174,4
500108175,10
500108176,6
500108177,4
500108178,14
500108179,14
500108181,16
500108182,8
500108183,13
500108184,7
500108185,6
500108186,4
500108187,12
500108188,6
500108189,3
500108190,9
500108191,20
500108192,13
500108193,9
500108194,8
500108195,10
500108196,10
500108197,10
500108199,2
500108200,7
500108201,12
500108202,12
500108203,11
500108204,9
500108205,13
500108206,11
500108207,12
500108208,10
500108209,6
500108211,11
500108212,10
500108213,5
500108214,14
500108215,8
500108216,9
500108217,10
500108218,4
500108219,6
500108220,8
500108221,9
500108222,6
500108223,6
500108224,9
500108225,9
500108226,5
500108227,10
500108228,18
500108229,5
500108230,6
500108231,6
500108233,8
500108234,6
500108235,10
500109001,19
500109002,8
500109003,21
500109004,11
500109005,14
500109006,24
500109007,18
500109008,26
500109009,10
500109010,18
500109011,33
500109012,7
500109013,16
500109014,6
500109015,10
500109016,10
500109017,7
500109018,9
500109019,26
500109020,18
500109022,28
500109023,27
500109024,7
500109025,8
500109026,15
500109027,48
500109028,13
500109029,9
500109030,8
500109031,6
500109032,58
500109033,19
500109034,16
500109035,2
500109036,5
500109037,8
500109039,6
500109040,8
500109041,11
500109042,16
500109043,17
500109044,8
500109045,11
500109046,11
500109047,21
500109048,10
500109049,8
500109050,12
500109051,5
500109052,10
500109053,18
500109054,21
500109055,18
500109056,15
500109057,7
500109058,11
500109059,8
500109060,8
500109061,8
500109062,4
500109063,17
500109064,6
500109065,12
500109066,27
500109067,8
500109068,24
500109070,17
500109071,8
500109072,12
500109073,10
500109074,12
500109075,6
500109076,4
500109077,4
500109078,6
500109079,21
500109080,5
500109081,4
500109082,7
500109084,9
500109085,15
500109086,20
500109087,9
500109088,14
500109089,8
500109091,13
500109092,6
500109093,17
500109094,6
500109096,8
500109097,7
500109098,6
500109099,3
500109100,3
500109101,49
500109102,4
500109103,4
500109104,11
500109105,9
500109106,10
500109107,12
500109108,8
500109109,11
500109110,9
500109111,9
500109112,11
500109113,12
500109114,13
500109115,9
500109116,13
500109117,12
500109118,13
500109119,14
500109120,15
500109121,10
500109122,12
500109123,9
500109124,11
500109125,16
500109126,6
500109127,6
500109128,17
500109129,24
500109130,8
500110002,4
500110003,18
500110004,18
500110005,14
500110006,5
500110007,5
500110008,11
500110009,4
500110010,10
500110011,14
500110012,14
500110013,21
500110014,6
500110015,3
500110016,7
500110017,10
500110018,12
500110019,19
500110020,16
500110021,5
500110022,20
500110023,33
500110024,11
500110025,21
500110026,9
500110027,6
500110028,8
500110029,10
500110030,16
500110031,5
500110032,12
500110033,11
500110034,16
500110035,13
500110036,2
500110037,8
500110038,15
500110039,35
500110040,16
500110041,23
500110042,17
500110043,2
500110044,15
500110045,16
500110046,8
500110047,10
500110048,3
500110049,5
500110050,4
500110051,6
500110052,11
500110053,9
500110054,15
500110055,4
500110056,14
500110057,6
500110058,4
500110059,18
500110060,13
500110061,12
500110062,6
500110063,12
500110064,3
500110065,6
500110066,13
500110067,17
500110068,6
500110069,12
500110070,3
500110071,15
500110072,6
500110073,6
500110074,13
500110076,16
500110077,14
500110078,19
500110079,5
500110080,8
500110081,10
500110082,12
500110083,10
500110084,17
500110085,6
500110086,10
500110087,13
500110088,4
500110089,13
500110090,13
500110091,25
500110092,7
500110093,12
500110094,11
500110095,11
500110096,9
500110097,11
500110098,8
500110099,16
500110100,8
500110101,10
500110102,12
500110103,10
500110104,18
500110105,13
500110106,11
500110107,12
500110109,6
500110110,11
500111001,15
500111002,34
500111003,14
500111004,27
500111005,9
500111006,4
500111007,6
500111008,25
500111009,19
500111010,14
500111011,5
500111012,3
500111013,17
500111014,28
500111015,32
500111016,29
500111017,18
500111018,12
500111019,8
500111020,9
500111021,16
500111022,19
500111023,42
500111024,18
500111025,4
500111026,9
500111027,12
500111028,22
500111029,6
500111030,12
500111031,11
500111032,6
500111033,11
500111034,5
500111035,10
500111036,16
500111037,6
500111038,7
500111039,19
500111040,10
500111041,9
500111042,13
500111043,12
500111044,11
500111045,16
500111046,6
500111047,15
500111048,18
500111049,8
500111050,10
500111051,6
500111052,5
500111053,9
500111054,6
500111055,10
500111056,8
500111057,9
500111058,14
500111059,13
500111060,39
500111061,10
500111062,8
500111063,8
500111065,8
500111066,6
500111067,12
500111068,9
500111069,17
500111070,34
500111071,10
500111072,13
500111073,7
500111074,14
500111075,11
500111076,7
500111077,9
500111078,11
500111079,5
500111080,9
500111081,5
500111082,8
500111083,10
500111084,11
500111085,6
500111086,11
500111087,4
500111088,7
500111089,9
500111090,8
500111091,11
500111092,4
500111093,3
500111094,4
500111095,6
500111096,12
500111097,7
500111098,8
500111113,8
500111114,9
500111115,6
500111116,15
500111117,6
500111118,5
500111119,8
500111120,5
500111121,6
500111122,6
500111123,9
500111124,7
500111125,12
500111126,13
500111127,15
500111128,4
500111129,9
500111130,14
500111131,9
500111132,23
500111133,13
500111134,9
500112001,24
500112002,8
500112003,14
500112004,14
500112005,7
500112006,25
500112007,22
500112008,31
500112009,30
500112010,6
500112011,6
500112012,16
500112013,2
500112014,6
500112015,15
500112016,23
500112017,39
500112018,6
500112019,2
500112020,11
500112021,6
500112022,35
500112023,27
500112024,12
500112025,30
500112026,34
500112027,7
500112028,18
500112029,13
500112030,3
500112031,2
500112032,2
500112033,4
500112035,22
500112036,4
500112037,33
500112038,6
500112039,18
500112040,27
500112042,1
500112043,11
500112044,18
500112045,47
500112046,33
500112047,20
500112048,13
500112049,5
500112050,26
500112051,29
500112052,13
500112053,12
500112054,16
500112055,19
500112056,2
500112057,15
500112058,3
500112059,14
500112060,17
500112061,13
500112062,12
500112063,11
500112064,15
500112065,8
500112066,7
500112067,21
500112068,29
500112069,15
500112070,10
500112071,29
500112072,27
500112073,8
500112075,7
500112076,6
500112078,16
500112079,11
500112080,18
500112081,2
500112082,2
500112083,12
500112084,13
500112085,21
500112086,8
500112087,14
500112088,8
500112089,4
500112090,5
500112091,4
500112092,13
500112093,2
500112094,10
500112095,16
500112096,15
500112097,15
500112098,8
500112099,16
500112100,30
500112101,10
500112102,14
500112103,2
500112104,8
500112105,6
500112106,7
500112107,14
500112108,9
500112109,13
500112110,26
500112111,14
500112112,6
500112113,10
500112114,9
500112115,16
500112116,15
500112117,2
500112118,6
500112119,10
500112120,7
500112123,6
500112124,5
500112125,11
500112127,15
500112128,6
500112129,12
500112130,6
500112132,26
500112133,7
500112134,5
500113001,6
500113002,11
500113003,6
500113004,12
500113005,26
500113006,9
500113007,7
500113008,27
500113009,12
500113010,7
500113012,24
500113013,13
500113014,8
500113015,7
500113016,5
500113017,20
500113018,7
500113019,20
500113020,11
500113022,22
500113023,16
500113025,17
500113026,9
500113027,20
500113028,11
500113029,12
500113030,10
500113031,12
500113032,8
500113033,12
500113034,50
500113035,10
500113036,24
500113037,11
500113038,16
500113039,22
500113041,10
500113042,30
500113043,45
500113044,28
500113045,11
500113046,13
500113047,8
500113048,7
500113049,10
500113050,12
500113051,8
500113052,12
500113053,14
500113054,6
500113055,9
500113056,16
500113057,19
500113058,20
500113059,10
500113060,14
500113061,18
500113062,10
500113064,15
500113065,14
500113066,24
500113069,13
500113070,15
500113071,9
500113072,8
500113073,15
500113074,8
500113075,9
500113077,10
500113078,15
500113079,14
500113081,21
500113083,6
500113085,10
500113086,12
500113087,13
500113088,13
500113089,9
500113090,15
500113091,11
500113092,12
500113093,15
