sno,平日0600初始車輛數
500113048,6
500113049,8
500113050,11
500113051,10
500113052,10
500113053,11
500113054,7
500113055,5
500113056,12
500113057,23
500113058,15
500113059,12
500113060,14
500113061,11
500113062,7
500113064,18
500113065,11
500113066,24
500113069,12
500113070,13
500113071,8
500113072,4
500113073,13
500113074,7
500113075,6
500113077,7
500113078,13
500113079,12
500113081,13
500113083,4
500113085,8
500113086,6
500113087,11
500113088,13
500113089,6
500113090,12
500113091,11
500113092,9
500113093,13
500113094,6
500113095,6
500113096,7
500113097,19
500113098,8
500113099,5
500113100,14
500113101,9
500119005,26
500119006,46
500119007,17
500119008,5
500119009,26
500119043,40
500119044,8
500119045,8
500119046,14
500119047,4
500119048,34
500119049,5
500119050,6
500119051,4
500119052,6
500119053,6
500119054,4
500119055,5
500119056,4
500119057,4
500119058,6
500119059,10
500119060,3
500119061,6
500119062,4
500119063,7
500119064,17
500119065,3
500119066,5
500119067,5
500119068,8
500119069,5
500119070,27
500119071,12
500119072,2
500119074,4
500119075,5
500119076,4
500119077,10
500119078,3
500119079,5
500119080,2
500119081,6
500119082,3
500119083,4
500119084,12
500119085,5
500119086,6
500119087,5
500119088,12
500119089,6
500119090,8
500119091,10
500119092,5
500119093,9
500119094,9
500119095,7
500119096,38
500119097,16
500119098,14
